checkin_acc,duration,credit_history,purpose,amount,svaing_acc,present_emp_since,inst_rate,personal_status,other_debtors,residing_since,property,age,inst_plans,housing,num_credits,job,dependents,telephone,foreign_worker,status
11,9,34,43,1754,65,75,6,93,101,6,121,101,143,152,3,173,2,192,201,0
12,72,32,43,8927,61,73,3,92,101,3,121,33,143,152,2,173,2,191,201,1
14,18,34,46,3144,61,74,3,93,101,5,121,74,143,152,2,172,3,191,201,0
11,63,32,42,11823,61,74,3,93,103,6,122,68,143,153,2,173,3,191,201,0
11,36,33,40,7305,61,73,5,93,101,6,124,80,143,153,3,173,3,191,201,1
14,54,32,46,13583,65,73,3,93,101,6,124,53,143,153,2,172,3,192,201,0
14,36,32,42,4253,63,75,5,93,101,6,122,80,143,152,2,173,2,191,201,0
12,54,32,41,10422,61,73,3,93,101,3,123,53,143,151,2,174,2,192,201,0
14,18,32,43,4589,64,74,3,91,101,6,121,92,143,152,2,172,2,191,201,0
12,45,34,40,7851,61,71,6,94,101,3,123,42,143,152,3,174,2,191,201,1
12,18,32,40,1943,61,72,5,92,101,2,123,38,143,151,2,173,2,191,201,1
11,72,32,49,6462,61,72,5,92,101,6,122,36,143,151,2,173,2,191,201,1
12,18,32,43,2351,61,73,2,92,101,2,123,33,143,152,2,173,2,192,201,0
11,36,34,40,1799,61,75,6,93,101,6,123,90,143,152,3,172,2,191,201,1
11,23,32,40,2105,61,73,3,92,101,6,123,42,143,151,2,173,2,191,201,0
11,36,32,43,1923,62,73,6,92,101,3,123,48,143,152,2,172,2,191,201,1
14,36,34,43,3636,65,75,6,93,101,6,122,80,143,152,3,173,2,191,201,0
11,45,30,49,12108,65,72,3,93,101,5,123,38,141,152,5,173,2,191,201,0
12,36,32,41,18869,61,75,6,92,101,3,124,66,143,153,2,174,2,192,201,1
14,36,32,43,5145,63,75,5,93,101,3,123,47,143,152,2,173,3,192,201,0
14,14,34,40,3201,61,73,6,93,101,6,123,72,143,152,5,173,2,192,201,0
11,9,32,43,3971,63,73,3,93,101,5,121,66,143,151,2,173,3,191,201,0
11,15,34,40,3362,61,72,2,93,101,5,121,72,143,151,3,172,3,191,202,0
12,18,34,41,2706,62,72,5,93,101,6,122,66,143,152,2,173,2,191,201,0
14,15,34,42,3104,65,73,3,94,101,2,123,39,143,152,3,173,2,191,202,0
11,9,32,42,2061,61,73,2,93,101,3,121,54,141,152,2,172,2,192,201,0
14,9,30,43,639,61,75,6,94,101,6,123,59,143,152,2,172,2,191,201,0
13,18,31,43,614,64,73,5,92,101,5,121,63,143,151,3,173,2,191,201,0
12,11,32,43,3623,61,73,5,93,103,3,121,51,143,152,2,173,2,191,201,0
11,90,33,49,10254,61,75,5,93,101,6,124,95,143,152,3,173,2,192,201,1
12,27,32,49,2870,64,72,5,94,101,5,121,54,141,152,2,173,2,192,201,0
11,36,32,42,6030,61,73,3,93,101,3,123,41,142,152,2,173,2,191,201,0
12,27,32,40,8799,62,73,3,93,101,3,123,45,143,152,3,173,2,192,201,0
14,18,34,49,1896,65,75,6,93,101,6,124,86,143,151,2,172,2,191,201,0
13,18,32,42,2211,61,72,6,92,101,2,122,50,141,152,2,174,2,192,201,0
12,68,34,43,7119,61,72,6,93,101,3,122,38,143,152,3,172,2,191,201,1
14,72,34,46,9165,61,73,2,93,101,5,124,47,141,153,2,173,2,192,201,0
13,27,32,43,3150,61,73,6,93,102,3,121,56,142,152,2,173,2,191,201,1
13,15,32,44,1838,61,73,3,93,101,3,123,56,143,152,2,173,2,192,201,0
12,14,32,43,687,61,73,6,93,101,5,121,36,143,152,2,173,2,191,201,0
14,45,32,43,3500,63,75,6,93,101,3,123,45,141,152,2,174,2,191,201,0
12,18,32,43,1737,63,73,5,91,101,2,123,39,143,152,2,173,2,192,201,0
12,27,33,45,9306,61,73,3,93,101,6,121,66,143,152,2,172,3,192,201,0
11,45,34,41,9281,62,74,2,94,101,6,123,36,143,151,3,173,2,191,201,0
11,72,34,41,9215,61,75,6,92,101,6,124,87,142,153,3,172,2,191,201,1
14,17,34,40,2090,61,72,6,92,101,6,123,53,143,152,3,174,2,191,201,0
14,54,32,43,3449,63,75,6,93,101,6,123,59,143,152,2,173,2,191,201,0
11,9,32,41,2028,63,71,2,92,101,3,122,35,143,151,2,171,2,192,201,0
14,17,34,40,10842,61,73,2,93,101,6,122,59,143,152,3,172,2,191,201,0
14,18,32,43,3110,62,73,6,92,102,3,121,42,143,152,2,173,2,191,201,0
12,36,33,42,3500,65,72,6,93,101,3,122,44,141,152,2,172,2,191,201,0
12,41,33,41,8948,61,75,2,93,101,3,123,45,143,152,3,174,2,192,201,0
14,18,32,43,1893,61,73,5,93,101,3,123,38,143,152,2,173,2,191,201,0
14,27,32,41,5067,65,73,3,93,101,2,122,47,143,152,2,173,2,192,201,0
12,54,33,40,3338,61,75,6,93,101,6,124,86,141,153,3,173,2,192,201,1
14,9,31,40,1175,65,73,2,93,103,3,121,39,142,152,2,172,3,191,201,0
12,18,32,43,9702,65,71,3,93,101,2,124,78,143,152,2,174,2,192,201,1
14,54,34,43,14349,61,73,3,92,101,3,123,47,142,152,3,173,2,191,201,0
13,27,32,40,2942,61,75,5,92,101,3,123,35,143,152,2,174,2,191,201,0
11,54,34,42,9344,61,72,6,92,102,6,124,35,143,151,3,172,2,192,201,1
12,14,32,49,2087,61,73,3,94,101,2,121,41,141,152,2,173,2,192,201,0
12,23,34,43,2306,65,75,6,93,103,6,121,75,143,152,3,173,2,192,201,0
12,54,30,49,2930,61,75,6,93,101,6,124,92,143,153,2,174,2,192,201,1
12,72,30,49,21632,61,73,3,93,101,3,123,38,143,152,2,173,2,192,201,1
14,36,32,43,4772,61,72,6,92,101,6,122,39,143,152,2,173,2,192,201,0
14,41,32,45,7785,65,75,6,93,101,6,122,72,143,152,6,173,3,192,201,0
14,18,32,43,3257,61,72,3,92,101,3,123,44,141,152,2,173,2,191,201,0
12,18,32,40,1511,64,73,6,94,101,2,121,33,143,152,2,173,2,191,201,0
14,54,32,46,2729,61,73,6,93,101,6,124,56,142,153,2,173,2,192,201,1
14,54,32,43,3591,65,73,6,92,101,6,123,38,143,152,2,173,2,191,201,0
14,54,32,41,12200,61,73,2,92,101,3,122,45,141,152,2,173,2,191,201,0
14,11,34,43,1095,65,75,6,93,101,3,122,69,143,151,3,172,2,192,201,0
11,12,34,410,1746,61,75,5,93,101,6,124,77,141,153,3,174,3,192,201,0
12,63,34,49,8931,61,74,3,92,101,2,121,62,141,152,3,172,2,191,201,0
11,54,32,46,2966,65,75,6,93,101,6,124,60,143,152,2,174,2,192,201,1
11,18,34,41,2289,61,75,6,93,101,6,124,99,143,153,3,174,2,191,201,0
11,63,32,43,5948,61,72,6,93,101,5,123,51,143,152,2,173,2,191,201,1
12,17,33,43,7157,61,74,3,93,101,6,122,77,143,152,2,173,2,191,201,0
14,81,30,41,14154,65,73,3,93,101,3,122,59,143,152,2,172,3,191,201,0
12,45,32,42,5748,61,72,3,94,101,2,122,33,143,152,2,173,2,191,201,0
14,36,32,43,8915,65,72,2,92,101,2,123,66,143,152,3,173,2,192,201,1
14,23,32,43,1820,63,75,6,93,101,5,122,71,142,152,2,173,2,192,201,0
14,27,32,49,2352,62,73,5,92,101,6,122,36,143,151,2,172,2,191,201,0
11,36,32,410,2633,61,75,6,92,103,6,121,87,143,152,2,172,2,192,201,0
11,15,32,43,3473,61,75,5,93,101,6,121,78,143,152,2,172,2,191,201,0
14,18,34,49,2118,61,73,6,92,103,3,121,44,143,152,3,174,2,192,201,0
12,27,34,42,1943,61,72,6,92,101,2,122,41,143,152,3,173,2,191,201,0
12,54,32,46,18918,62,73,2,93,101,6,124,71,143,153,2,173,3,192,201,1
11,27,32,40,3374,62,74,6,93,101,5,123,45,143,152,2,174,3,192,201,0
11,18,30,45,1662,61,74,6,93,101,5,121,42,143,152,3,173,2,191,201,1
14,18,34,43,927,61,75,6,93,101,6,121,84,143,152,2,173,2,191,201,0
11,18,34,41,2114,61,75,6,93,101,5,121,81,143,152,2,173,2,191,201,0
14,18,34,43,1196,65,75,6,92,101,5,122,50,141,152,2,172,3,191,201,1
13,36,34,42,5426,65,75,6,93,102,6,124,30,143,151,3,173,2,191,201,0
12,18,32,40,1977,64,75,6,93,101,6,121,81,143,152,2,173,2,192,201,0
12,81,30,49,23918,61,72,5,93,101,6,124,87,143,151,2,173,2,192,201,1
14,18,34,46,3018,65,74,6,92,101,3,123,92,143,152,2,173,2,191,201,0
12,27,32,49,3933,62,73,6,93,101,6,123,51,143,152,2,173,2,191,201,0
12,54,34,43,3506,61,75,6,93,101,6,121,54,143,152,2,173,2,191,201,0
12,30,33,41,10586,65,74,5,93,101,6,122,54,141,151,3,174,3,192,201,0
14,36,32,40,2204,62,75,6,94,101,6,121,62,143,151,2,172,2,191,201,0
12,54,32,43,3485,61,74,6,93,101,6,123,36,143,151,2,173,2,191,201,0
14,9,33,43,1398,61,73,5,92,101,3,121,36,143,152,2,173,2,191,201,0
12,14,34,42,2879,61,74,6,93,101,5,123,53,143,151,2,173,2,192,201,0
14,18,32,41,3668,65,72,3,94,101,6,123,39,143,151,2,173,2,192,201,0
12,36,34,410,17907,61,73,3,93,102,5,123,59,143,152,3,174,3,192,201,1
14,27,31,40,9687,61,75,3,93,101,6,124,59,141,152,3,174,3,192,201,1
12,18,32,40,9117,61,74,3,93,101,3,123,48,143,152,2,173,2,191,201,0
11,36,32,42,11582,65,72,2,92,101,3,122,45,143,152,2,173,2,192,202,0
12,21,32,49,2115,63,75,2,94,101,3,121,53,143,152,2,173,2,192,201,0
12,9,33,49,2174,62,75,2,91,101,3,123,47,141,152,3,173,3,191,201,0
13,23,32,46,588,61,72,6,92,101,6,122,35,143,151,2,173,2,192,201,0
12,27,32,40,9390,61,74,5,93,101,5,121,42,143,151,2,172,2,191,201,0
14,54,34,40,11783,61,73,6,92,101,3,121,38,142,152,3,173,2,192,201,1
11,18,32,43,2520,63,75,5,94,101,2,121,53,143,152,2,173,2,191,201,0
14,72,34,43,5367,65,75,6,93,101,2,121,71,143,152,2,173,2,192,201,0
11,63,32,43,10761,65,74,6,92,101,5,123,45,143,152,2,174,2,192,201,1
11,15,34,42,3198,65,72,3,92,102,5,121,41,143,151,3,173,2,191,202,0
11,50,34,42,6422,63,73,2,92,101,6,123,35,143,152,3,173,2,191,201,1
12,18,34,40,3549,63,74,5,91,101,5,123,54,143,152,2,174,2,192,201,0
11,32,32,43,2753,61,73,5,92,101,3,121,38,143,152,3,173,2,192,201,1
14,36,34,41,5802,61,75,6,92,101,3,123,62,143,151,3,174,2,192,201,0
14,18,32,42,2652,61,73,5,93,101,3,121,36,143,151,2,172,2,191,201,0
13,15,34,40,1172,61,75,6,93,101,6,124,95,143,153,3,173,2,192,201,0
12,27,32,42,2886,65,72,6,92,101,5,121,41,143,151,2,173,2,191,201,1
11,18,34,40,3182,61,73,6,93,101,3,122,45,143,152,3,173,2,191,201,0
11,18,32,43,1052,61,73,6,94,101,3,121,60,143,152,2,172,2,191,201,0
12,18,32,45,959,61,73,6,93,101,3,123,45,143,152,2,173,2,191,201,1
12,18,34,41,2790,61,71,6,93,101,3,123,51,143,152,3,174,2,192,201,0
11,18,34,40,5249,61,73,5,92,102,3,121,44,143,152,3,173,2,191,201,1
12,72,32,40,12731,65,74,2,92,101,3,123,36,143,152,2,173,2,191,201,0
11,54,33,46,10331,61,73,6,93,101,5,122,44,142,152,2,173,2,192,201,1
14,23,32,42,4062,61,72,3,93,101,5,122,41,141,152,3,172,2,191,201,0
14,27,32,42,2976,61,73,6,93,101,6,124,71,141,153,3,173,2,191,201,0
14,90,32,43,15216,62,74,3,92,101,6,121,32,143,152,2,173,2,192,201,0
14,18,34,43,1860,65,75,6,92,101,3,121,57,143,152,3,173,2,192,201,0
14,41,33,41,12920,64,73,3,93,101,3,123,41,143,152,3,173,2,191,201,0
12,18,32,43,1149,63,73,6,93,101,5,121,99,143,152,2,172,2,191,201,1
12,23,34,43,4092,65,74,6,93,103,3,121,53,141,152,5,173,2,192,201,0
13,18,32,43,2822,61,73,3,92,101,3,123,66,143,151,2,172,2,192,201,0
13,9,32,40,1064,64,72,3,94,101,3,121,41,143,152,2,171,2,191,202,0
12,54,32,43,7193,61,72,6,92,101,2,124,45,143,152,2,174,2,192,201,0
11,41,32,43,5124,61,73,5,93,101,3,123,41,143,152,2,174,2,191,201,0
11,27,32,42,3693,61,73,3,93,101,3,123,33,143,152,2,173,2,191,201,1
14,32,34,42,3432,61,72,6,92,101,6,122,35,143,152,2,173,2,192,201,0
12,72,31,49,5349,62,74,6,93,101,3,123,45,143,152,2,173,2,191,201,0
11,9,34,40,1290,61,75,2,92,101,6,124,59,143,152,3,173,2,192,201,0
14,18,34,40,1023,62,74,6,92,101,5,123,77,143,152,3,173,2,192,201,0
11,54,34,42,8057,61,73,5,93,103,3,122,42,143,152,3,173,2,191,201,0
14,27,34,43,2373,64,75,6,93,101,6,123,69,143,152,3,173,2,191,201,0
14,9,32,43,2019,62,75,3,93,101,6,124,63,141,153,2,173,3,192,201,0
14,15,32,43,2886,61,73,2,93,101,6,122,57,143,152,2,173,2,192,202,0
13,54,32,43,8772,61,73,6,93,101,2,123,36,143,152,2,173,2,191,201,0
12,36,34,41,11637,64,75,3,92,101,6,124,44,143,151,2,173,2,191,201,0
12,36,33,49,10451,62,74,6,93,101,6,123,54,143,151,2,174,2,192,201,0
11,18,32,42,1923,61,73,3,92,101,6,123,30,143,151,2,173,2,191,201,1
11,14,34,45,1932,62,75,5,93,103,6,121,72,143,152,3,173,3,191,202,0
11,18,31,48,509,61,75,6,94,101,2,123,68,141,152,2,172,2,191,201,0
12,36,32,40,5268,62,74,3,93,101,5,123,57,141,152,3,173,2,192,201,0
14,9,34,43,2847,65,73,2,93,101,3,121,51,143,152,3,172,3,191,201,0
14,36,34,43,4308,62,75,5,93,101,6,121,54,143,152,2,173,3,192,201,0
14,27,34,40,1583,61,72,6,92,101,2,122,45,143,152,3,173,2,191,201,0
14,23,32,44,1893,63,74,6,93,101,5,122,54,143,152,3,173,2,192,201,0
12,15,32,40,10962,61,71,3,93,101,6,124,105,141,153,2,174,2,192,201,0
14,54,32,40,1364,63,75,6,93,101,6,122,54,143,152,2,173,2,191,201,0
14,9,32,42,4467,63,73,2,93,101,3,123,48,143,152,2,173,2,192,201,0
11,27,32,42,1697,61,71,6,92,101,3,123,50,143,152,2,173,2,191,201,1
12,17,32,42,2366,64,72,6,92,101,2,121,30,143,152,2,173,2,191,201,0
14,36,32,42,5958,61,74,3,92,101,6,122,38,143,151,2,173,2,192,201,0
12,36,34,49,2903,61,75,6,91,101,6,121,47,143,152,3,173,2,192,201,1
11,23,30,40,1425,61,75,6,93,101,5,123,50,143,151,3,173,3,191,201,1
14,18,32,42,1145,61,73,6,92,101,2,121,39,143,152,2,173,2,192,201,0
12,36,33,42,3096,61,71,5,92,101,3,122,51,143,152,2,174,2,192,201,1
12,12,32,43,2121,61,73,6,93,103,3,121,50,143,152,2,173,2,191,202,0
11,32,33,46,5121,61,72,3,93,101,2,122,39,143,152,3,173,2,191,201,1
14,45,31,41,11228,65,71,6,92,101,2,121,80,141,152,2,174,2,192,201,1
11,18,32,42,3866,61,73,3,91,101,2,123,63,143,152,2,173,2,191,201,0
11,9,34,43,507,63,75,6,93,101,6,123,78,143,152,3,173,2,191,201,0
14,18,32,43,2945,61,74,6,93,101,3,123,47,143,151,3,174,3,192,201,0
11,32,34,40,857,61,75,6,93,101,6,121,98,143,152,3,173,2,191,201,0
14,54,33,49,14358,61,72,2,91,101,2,123,42,143,152,3,173,2,191,201,1
12,54,33,49,6683,61,73,3,91,101,3,121,45,142,152,3,174,2,192,201,1
11,32,31,40,2471,65,73,6,93,101,3,122,60,143,152,3,172,3,191,201,1
14,36,34,42,5666,64,73,6,93,101,6,121,75,143,152,2,173,2,192,201,0
12,27,34,40,1326,61,75,6,93,101,6,123,54,141,152,2,173,3,192,201,1
14,23,34,43,2040,61,73,6,93,101,3,122,47,143,152,3,173,2,191,201,0
12,14,31,41,7694,61,75,3,92,101,6,124,111,141,153,2,174,3,192,201,1
12,24,34,40,1763,61,71,3,93,101,5,123,102,143,153,5,171,2,192,201,0
11,18,32,43,1011,62,74,6,94,101,2,122,30,143,152,2,173,2,191,201,1
12,27,30,42,4866,61,73,2,92,101,6,123,50,141,152,3,173,2,192,201,0
14,36,32,49,6887,64,73,3,93,101,5,122,81,143,152,5,174,2,192,201,1
12,72,30,49,5766,62,74,6,93,101,6,124,51,143,153,2,172,3,191,201,1
12,41,32,49,5873,61,73,6,93,101,3,123,54,143,152,2,173,3,192,201,1
14,9,32,43,3162,61,74,3,94,101,3,121,44,143,151,2,173,2,191,201,0
12,68,32,43,4547,62,73,6,93,103,6,122,32,143,151,2,173,2,191,201,1
12,14,34,46,2252,61,75,3,92,101,5,123,51,143,152,3,174,2,192,201,1
14,9,34,43,2073,61,73,2,92,101,2,123,42,143,152,3,173,2,192,201,0
12,18,32,42,1427,62,72,6,92,101,6,123,41,141,151,6,173,2,191,201,1
12,36,32,41,4140,65,75,6,93,101,6,124,54,141,153,2,173,2,192,201,0
12,27,33,42,6446,61,75,6,91,101,5,124,60,143,152,2,174,2,192,201,1
14,14,34,46,1404,63,75,6,93,101,3,123,78,143,152,3,173,2,192,201,0
11,18,32,40,1752,61,73,6,94,101,5,121,41,143,152,2,172,2,191,201,0
14,41,33,49,7676,61,74,5,93,101,6,123,39,143,152,3,173,2,191,201,0
11,18,32,48,1353,61,74,6,94,101,6,122,32,143,151,2,173,2,191,201,1
14,18,34,40,2243,61,75,6,93,101,2,121,57,143,152,3,172,3,191,201,0
11,45,34,41,15935,61,75,5,93,101,6,124,57,143,153,5,174,3,192,201,0
14,18,34,42,2903,61,75,6,93,101,6,121,65,143,152,5,173,2,192,201,0
12,18,34,44,2136,61,74,6,93,101,5,122,39,143,152,2,173,2,191,201,0
11,36,32,49,9852,61,73,3,94,101,3,123,32,142,152,2,172,2,191,201,0
14,18,32,41,2120,64,74,5,93,101,3,122,83,143,152,2,173,2,191,202,0
14,14,34,43,4611,65,73,2,93,101,3,121,50,143,152,3,173,3,191,201,0
14,54,32,43,5753,65,75,3,92,101,6,121,68,143,152,2,172,2,192,201,0
11,41,30,49,7940,61,71,3,93,101,6,122,75,142,152,3,173,2,192,201,1
13,45,33,49,2862,61,75,6,93,101,6,121,99,143,152,2,174,2,192,201,1
14,54,34,43,5013,65,75,6,93,101,3,123,77,143,152,2,173,2,192,201,0
12,9,34,48,1398,65,74,2,92,101,5,122,59,143,152,3,172,2,191,201,0
11,27,30,49,4656,61,74,5,93,101,2,122,47,141,152,2,173,2,192,201,0
13,54,32,43,5870,61,73,3,93,101,3,121,35,143,152,2,173,2,192,201,0
11,36,32,42,4532,61,73,3,91,101,3,121,36,143,151,2,172,2,191,201,0
14,15,32,40,2046,61,73,3,92,101,6,123,96,143,152,2,173,2,192,201,0
12,18,32,43,938,61,72,6,94,103,2,121,39,141,152,2,172,2,191,201,0
11,18,32,46,1800,65,73,6,92,101,6,122,35,141,151,2,173,2,192,201,0
14,18,32,43,1061,61,73,6,93,101,3,121,45,141,152,3,173,2,191,201,0
14,36,33,49,4467,65,73,6,93,101,6,121,48,143,152,3,173,3,192,201,0
14,23,32,41,6986,61,73,5,93,101,3,123,45,143,152,2,173,2,192,201,0
14,54,30,45,3920,61,73,6,93,101,3,123,41,143,152,3,173,2,191,201,0
12,72,32,43,16442,64,74,2,93,102,3,124,41,141,152,3,173,2,192,201,1
11,18,32,42,11798,61,75,6,93,101,6,124,80,143,153,2,174,2,192,201,1
14,14,32,43,2217,61,74,6,93,101,3,123,33,143,152,2,173,2,191,201,1
11,36,32,42,4724,61,72,6,93,101,2,124,33,141,153,2,173,2,191,201,0
13,54,32,43,6315,61,73,6,93,101,3,123,39,143,152,2,173,2,191,201,1
14,14,32,40,3761,63,75,3,93,101,6,124,77,143,153,2,172,2,191,201,0
14,18,32,43,3212,62,74,5,93,101,2,124,53,143,152,2,173,2,191,201,0
12,27,32,43,1299,61,73,6,94,103,3,121,38,143,152,2,172,2,191,201,0
14,6,34,43,2316,61,74,3,93,101,2,121,63,143,152,5,172,3,191,201,0
11,36,32,43,2735,61,71,6,93,101,3,123,45,142,152,2,174,3,191,201,1
12,9,32,40,21833,65,71,2,93,101,3,122,35,143,152,2,171,2,192,201,1
12,32,32,49,4151,62,75,6,91,101,3,123,92,141,151,3,172,2,191,201,1
14,18,34,43,1937,61,73,6,92,101,3,122,53,143,152,3,173,2,191,201,0
11,45,32,43,3783,61,75,2,93,103,5,122,59,143,152,2,173,3,191,201,0
11,36,32,40,1373,65,75,6,92,101,3,123,44,141,152,2,173,2,191,201,1
14,9,32,43,2393,61,74,5,93,101,3,122,77,143,152,2,173,3,191,201,0
11,72,30,41,6908,61,75,5,93,101,6,124,36,143,153,3,173,3,191,201,1
14,18,34,49,1778,61,73,5,92,101,3,121,41,143,152,3,173,2,191,201,0
14,18,31,48,5171,63,73,6,92,101,5,121,53,143,152,2,172,3,191,201,0
14,36,32,49,1887,61,74,6,93,101,2,121,38,143,152,2,173,2,192,201,0
14,18,34,43,1076,61,75,6,93,101,6,121,78,143,152,5,173,2,191,201,0
